,Carrier,No of cancelled flights
0,Delta Air Lines Inc.,107851
1,American Airlines Inc.,105762
2,United Air Lines Inc.,102066
3,American Eagle Airlines Inc.,96365
4,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),85866
5,Southwest Airlines Co.,65549
6,Northwest Airlines Inc.,59210
7,Atlantic Southeast Airlines,27947
8,Alaska Airlines Inc.,26667
9,Continental Air Lines Inc.,26565
10,Skywest Airlines Inc.,25924
11,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),25402
12,Comair Inc.,24986
13,Independence Air,22176
14,Expressjet Airlines Inc.,21483
15,Trans World Airways LLC,11001
16,AirTran Airways Corporation,6075
17,ATA Airlines d/b/a ATA,2080
18,JetBlue Airways,1707
19,Aloha Airlines Inc.,1662
20,Hawaiian Airlines Inc.,268
21,Frontier Airlines Inc.,175
