"","model","average_depdelay"
"1","737-2Y5",7.02202643171806
"2","737-282",8.43356643356643
"3","737-230",10.4586466165414
"4","737-282C",11.7657657657658
"5","767-324",15.7880512091038
"6","767-432ER",15.7938315360833
"7","757-26D",15.9425481581615
"8","182A",17.1032608695652
"9","A318-111",17.1471098265896
"10","767-3P6",17.3858173076923
"11","757-212",17.5107011070111
"12","777-232",17.5215087942361
"13","737-832",17.6941850641002
"14","757-232",17.7744700607925
"15","767-332",17.8141469860635
"16","A319-111",18.6786808875812
"17","DA 20-A1",20.0417986067131
"18","767-3CB",20.7167785234899
"19","EMB-120",20.7981482742188
"20","757-351",21.4130144769999
"21","EMB-120ER",21.4584468102666
"22","A319-132",21.6316748014861
"23","767-224",21.835771105979
"24","A321-211",21.9866518353726
"25","MD-90-30",22.2033232628399
"26","A320-214",22.5240753663643
"27","747-451",22.5890410958904
"28","737-3S3",22.6163740657048
"29","767-33A",22.6164521826899
"30","777-224",22.7447916666667
"31","767-424ER",22.7508854781582
"32","A319-114",22.7812217616432
"33","737-924",22.7925122083559
"34","737-33A",22.8295165394402
"35","A319-112",22.9501415889783
"36","MD-88",23.367552422747
"37","757-231",23.4705578512397
"38","737-3B7",23.5893237877276
"39","737-4B7",23.8672255800351
"40","737-3G7",23.8729456384324
"41","737-401",23.9470765181425
"42","737-790",24.1378326996198
"43","757-2Q8",24.2778646851779
"44","737-824",24.4649070570667
"45","777-222",24.5441152531336
"46","737-301",24.7804163615441
"47","737-890",25.2280049566295
"48","A320-231",25.3104522094645
"49","737-990",25.4086518654154
"50","757-324",25.4620945496053
"51","757-222",25.589056319743
"52","757-224",25.6267759632722
"53","737-724",25.6684568490026
"54","767-3G5",25.873511060692
"55","757-2G7",25.8907063876451
"56","A320-212",25.9845543331036
"57","G-IV",26.0633802816901
"58","757-2S7",26.0927618395973
"59","A320-232",26.3902192749435
"60","S-50A",26.4189122978932
"61","737-490",26.4970154527028
"62","A109E",26.5739268680445
"63","757-225",26.7967495219885
"64","737-3Y0",26.8143484288355
"65","A320-211",26.9788512527652
"66","737-3T5",27.01008492569
"67","737-4Q8",27.0761044560264
"68","757-251",27.3163580575739
"69","PA-31-350",27.3573548113607
"70","KITFOX IV",27.7958477508651
"71","737-3H4",27.8368448951774
"72","737-317",27.8416023039665
"73","737-7H4",27.8679544553334
"74","550",27.8979118329466
"75","767-223",27.935908516721
"76","PA-32R-300",27.9440154440154
"77","737-3L9",28.0555088309504
"78","737-3TO",28.1769351121636
"79","206B",28.2286995515695
"80","AS 355F1",28.3989637305699
"81","FALCON-XP",28.412030075188
"82","DC-9-41",28.42261300868
"83","DC-9-31",28.5232568798929
"84","747-2B5F",28.5241134751773
"85","S55A",28.580810546875
"86","737-4S3",28.7035608308605
"87","182P",28.7821596244131
"88","737-3A4",28.7875937460277
"89","737-3Q8",28.9276736493936
"90","767-322",28.9524384112619
"91","210-5(205)",28.9721964782206
"92","OTTER DHC-3",28.9952879581152
"93","DC-9-82(MD-82)",29.0069652471529
"94","DC-9-51",29.0386476859905
"95","767-323",29.1555524842789
"96","737-8FH",29.3038674033149
"97","FALCON XP",29.3723109691161
"98","VANS AIRCRAFT RV6",29.3927028324532
"99","172M",29.4677195899141
"100","DC-9-32",29.4789900546809
"101","T210N",29.4951241134752
"102","757-223",29.5199011981886
"103","65-A90",29.7440828402367
"104","150",29.7502574665294
"105",NA,29.8301709646086
"106","HST-550",30.174719375305
"107","421C",30.3083645443196
"108","737-76N",30.3096834422473
"109","DC-9-83(MD-83)",30.3474238653737
"110","A-1B",30.3477564102564
"111","PA-28-180",30.5414691943128
"112","MD 83",30.5835734870317
"113","S-76A",30.690036900369
"114","F85P-1",30.7620052770449
"115","737-7BD",31.0331160365059
"116","172E",31.0887245841035
"117","EMB-135KL",31.374988968317
"118","E-90",31.42578125
"119","PA-32RT-300",31.4797687861272
"120","60",31.4967197750703
"121","CL-600-2B19",31.6209272656156
"122","A319-131",31.7385400263175
"123","C90",31.8330948974726
"124","737-524",31.9432390175014
"125","737-73A",31.9870967741935
"126","690A",32
"127","747-422",32.0051085568327
"128","EMB-145EP",32.1166990830786
"129","EMB-145XR",32.1392814933541
"130","EMB-145LR",32.4054517211241
"131","EMB-145",32.4170148754805
"132","DC-7BF",32.5261121856867
"133","1121",33.2908745247148
"134","737-322",33.8466816596292
"135","767-2B7",33.9254143646409
"136","SAAB 340B",33.9335511982571
"137","737-522",34.3702658998894
"138","CL-600-2C10",34.6212598971544
"139","EMB-135ER",35.4175020048115
"140","757-33N",35.7124183006536
"141","EMB-135LR",36.8654813686384
"142","ATR 72-212",38.2673654963375
"143","ATR-72-212",38.6991947244943
"144","717-200",38.7371047725341
"145","ERJ 190-100 IGW",41.7239583333333
"146","A330-223",55.8
